POSITION;driverId;DriverFullName;Year;PointsUntilJuly;AvgGridPosition;AvgPitStopMinutes;AvgLapTimeMinutes;TotalPredictedPoints
1;830;Max Verstappen;2024;237;1,8795986622;4,093020248;1,6014015886;495,475
2;832;Carlos Sainz;2024;135;4,8785504407;4,6632365655;1,5840571009;424,5833333333
3;846;Lando Norris;2024;156;3,3650503202;4,4227132357;1,5870336841;421,5916666667
4;844;Charles Leclerc;2024;150;5,1369047619;4,1525491355;1,5213893849;408,7083333333
5;815;Sergio Pérez;2024;118;6,8829059829;1,5613359829;1,5710706268;267,1583333333
6;847;George Russell;2024;111;5,040247678;3,8205795795;1,5806579721;257,4916666667
7;857;Oscar Piastri;2024;112;5,8631147541;3,999401776;1,5973759426;256,5833333333
8;1;Lewis Hamilton;2024;85;7,7256198347;4,0618593939;1,6246702342;195,8166666667
9;4;Fernando Alonso;2024;41;10,1507823613;3,5154701991;1,5793574324;108,05
10;852;Yuki Tsunoda;2024;19;11,605893186;4,4098327041;1,5959359423;106,775
11;840;Lance Stroll;2024;17;12,6614759648;3,3823768675;1,6770051568;92,9
12;817;Daniel Ricciardo;2024;11;13,0207650273;3,6953055556;1,4992424044;76,0083333333
13;807;Nico Hülkenberg;2024;14;12,1838351823;1,4654533413;1,5905865425;72,8083333333
14;860;Oliver Bearman;2024;6;11;0,3742833333;1,6286506667;56,5333333333
15;848;Alexander Albon;2024;2;11,5963699222;3,0219211466;1,5205894987;27,5166666667
16;858;Logan Sargeant;2024;0;18,3558558559;4,339219039;1,6851926577;20,525
17;842;Pierre Gasly;2024;6;14,5962441315;3,8430501695;1,6130462572;20,2083333333
18;855;Guanyu Zhou;2024;0;14,7359413203;3,1615375849;1,6427695463;12,0916666667
19;825;Kevin Magnussen;2024;5;15,3484729836;1,4784845341;1,5632803054;10,7333333333
20;839;Esteban Ocon;2024;3;13,6810912512;1,6643255723;1,5921998902;10,2583333333
21;822;Valtteri Bottas;2024;0;14,1730934019;4,1867236218;1,6269485576;9,1166666667
